,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter
2009-12-05,4.71,10.7,217.347,172000.0,178389.58446026,79136.12794287477,82075.93592746161,78213.78126825945
2009-12-12,4.81,10.7,217.347,177500.0,178389.58446026,81666.6436619783,82075.93592746161,78213.78126825945
2009-12-19,4.94,10.7,217.347,180000.0,178389.58446026,82816.87807975266,82075.93592746161,85068.98915588927
2009-12-26,5.05,10.7,217.347,179900.0,178389.58446026,82770.86870304168,82075.93592746161,78213.78126825945
2010-01-02,5.14,10.7,217.347,178400.0,177994.62802979865,82080.72805237708,81894.21893552644,80495.66933298988
2010-01-09,5.09,10.6,217.488,174900.0,177994.62802979865,80418.22997130877,81841.12596087999,78149.7955409999
2010-01-16,5.06,10.6,217.488,177000.0,177994.62802979865,81383.80048554404,81841.12596087999,78195.79306633303
2010-01-23,4.99,10.6,217.488,172500.0,177994.62802979865,79314.72081218274,81841.12596087999,77275.8425596703
2010-01-30,4.98,10.6,217.488,177000.0,177994.62802979865,81383.80048554404,81841.12596087999,78425.78069299871
2010-02-06,5.01,10.6,217.281,170000.0,177890.3320220556,78239.69882318287,81871.09412330374,80491.50904321414
2010-02-13,4.97,10.6,217.281,163000.0,177890.3320220556,75018.06416575769,81871.09412330374,78696.67264945465
2010-02-20,4.93,10.6,217.281,169900.0,177890.3320220556,78193.67547093396,81871.09412330374,79571.08012333748
2010-02-27,5.05,10.6,217.281,174900.0,177890.3320220556,80494.84308338052,81871.09412330374,81711.07736205072
2010-03-06,4.97,10.6,217.353,170000.0,178168.57462651766,78213.78126825945,81971.98779244715,80525.23262077633
2010-03-13,4.95,10.6,217.353,170000.0,178168.57462651766,78213.78126825945,81971.98779244715,80571.27334840399
2010-03-20,4.96,10.6,217.353,184900.0,178168.57462651766,85068.98915588927,81971.98779244715,82873.30972978697
2010-03-27,4.99,10.6,217.353,170000.0,178168.57462651766,78213.78126825945,81971.98779244715,85175.34611116994
2010-04-03,5.08,10.6,217.403,175000.0,178693.51262749606,80495.66933298988,82194.59373950501,85475.97711449646
2010-04-10,5.21,10.6,217.403,169900.0,178693.51262749606,78149.7955409999,82194.59373950501,84097.33232232716
2010-04-17,5.07,10.6,217.403,170000.0,178693.51262749606,78195.79306633303,82194.59373950501,86854.62190666575
2010-04-24,5.07,10.6,217.403,168000.0,178693.51262749606,77275.8425596703,82194.59373950501,85016.42885044002
2010-05-01,5.06,10.6,217.403,170500.0,178624.131294714,78425.78069299871,82162.6800433821,85475.97711449646
2010-05-08,5.0,10.6,217.29,174900.0,178624.131294714,80491.50904321414,82205.40811575038,82597.98185597666
2010-05-15,4.93,10.6,217.29,171000.0,178624.131294714,78696.67264945465,82205.40811575038,84892.37024086488
